reference_dossier;age;taux_presence_pct;heures_lms_total;retards_rendus;nb_devoirs_total;nb_devoirs_rendus;messages_forum;nb_ue_total;motivation;satisfaction;sentiment_appartenance;mention_bac;filiere;bac_type
COH2027-0001;20;52,2 %;11,2;3;8;6;0;5;1;1;1;Passable;Informatique;Technologique
COH2027-0002;22;52,9 %;13,3;10;13;11;3;6;1;2;2;Passable;Informatique;Général
COH2027-0003;19;70,0 %;33,4;7;9;7;2;6;2;4;3;Assez bien;Informatique;Général
COH2027-0004;20;68,6 %;14,9;5;12;11;4;5;;1;4;Passable;Mathématiques;Technologique
COH2027-0005;20;64,4 %;16,2;6;10;10;3;5;2;3;2;Bien;Mathématiques;Général
COH2027-0006;20;39,6 %;14,7;5;10;5;0;7;3;4;1;Bien;Informatique;Général
COH2027-0007;22;67,6 %;27,9;7;11;7;4;6;3;;;Passable;STAPS;Général
COH2027-0008;20;46,3 %;8,3;8;10;8;3;5;2;3;2;Assez bien;Lettres;Général
COH2027-0009;18;50,8 %;5,8;6;8;6;0;5;1;3;1;Bien;Informatique;Technologique
COH2027-0010;20;39,2 %;18,9;6;12;8;1;5;2;2;3;Passable;Informatique;Général
COH2027-0011;17;77,4 %;40,8;3;12;12;11;7;4;4;4;;Informatique;Technologique
COH2027-0012;17;60,9 %;22,6;3;12;11;0;6;3;3;2;Bien;Mathématiques;Général
COH2027-0013;18;50,6 %;13,2;7;11;10;3;5;1;2;3;Assez bien;Gestion;Professionnel
COH2027-0014;18;60,3 %;34,8;4;11;11;3;6;1;3;;Passable;Informatique;Technologique
COH2027-0015;19;63,9 %;24,1;5;9;9;6;5;3;3;4;Assez bien;Informatique;Général
COH2027-0016;20;77,1 %;67,8;4;10;10;2;6;4;4;4;Assez bien;Lettres;Général
COH2027-0017;21;79,4 %;35,6;4;10;10;2;5;4;2;3;Passable;Psychologie;Général
COH2027-0018;17;58,5 %;8,7;7;10;8;5;6;1;4;2;;Informatique;Professionnel
COH2027-0019;19;67,6 %;40,5;5;9;7;2;6;3;4;1;;Informatique;Technologique
COH2027-0020;20;65,5 %;40,4;8;13;11;6;5;;;2;Assez bien;Droit;Général
COH2027-0021;19;73,2 %;24,9;3;10;10;7;7;4;4;1;Passable;Informatique;Général
COH2027-0022;21;69,9 %;37,5;4;9;9;7;5;4;2;4;Passable;Biologie;Général
COH2027-0023;20;24,0 %;0,0;4;9;4;0;5;;1;1;Très bien;Gestion;Général
COH2027-0024;19;61,0 %;12,2;6;9;6;1;6;1;1;2;Assez bien;Mathématiques;Général
COH2027-0025;20;41,0 %;10,7;7;10;7;0;5;;;1;Assez bien;Informatique;Professionnel
COH2027-0026;19;71,6 %;29,8;7;11;11;7;6;4;3;3;Assez bien;STAPS;Général
COH2027-0027;21;76,5 %;8,6;10;12;11;2;7;1;3;1;Assez bien;Informatique;Général
COH2027-0028;20;45,2 %;18,2;9;12;9;0;6;1;4;1;Passable;Informatique;Général
COH2027-0029;21;79,7 %;51,5;4;11;11;8;6;4;4;4;Très bien;Informatique;Technologique
COH2027-0030;18;59,4 %;36,5;7;9;9;8;5;2;2;2;Passable;Mathématiques;Général
COH2027-0031;19;59,8 %;19,9;6;9;9;2;5;4;3;3;Passable;Informatique;Général
COH2027-0032;22;57,1 %;6,9;8;12;8;0;7;2;2;1;Très bien;Informatique;Général
COH2027-0033;19;56,8 %;21,6;6;10;6;2;5;2;3;2;Passable;Gestion;Général
COH2027-0034;22;56,7 %;11,3;8;9;8;4;7;1;4;2;Assez bien;Droit;Général
COH2027-0035;21;65,9 %;31,9;6;12;12;8;5;4;3;2;Très bien;Informatique;Technologique
COH2027-0036;20;72,8 %;17,6;5;9;8;1;6;3;1;2;Passable;Informatique;Général
COH2027-0037;19;33,1 %;10,6;8;12;8;0;6;1;1;1;Assez bien;Informatique;Technologique
COH2027-0038;22;51,0 %;11,4;6;8;6;2;6;4;1;3;Passable;Psychologie;Général
COH2027-0039;22;55,7 %;30,0;8;13;11;3;6;2;4;2;Passable;Gestion;Général
COH2027-0040;20;65,3 %;21,0;8;13;8;4;7;3;4;;Passable;Gestion;Général
COH2027-0041;21;41,5 %;3,5;5;9;5;0;7;1;1;2;Passable;Informatique;Général
COH2027-0042;23;76,9 %;13,0;3;10;10;8;6;4;3;4;Bien;Informatique;Général
COH2027-0043;17;37,4 %;6,5;7;8;7;0;6;2;1;;Passable;Informatique;Général
COH2027-0044;20;62,3 %;20,3;5;11;11;7;7;4;3;3;Très bien;Mathématiques;Technologique
COH2027-0045;18;55,4 %;17,8;7;11;8;7;6;3;3;1;Très bien;Informatique;Technologique
COH2027-0046;18;47,7 %;12,6;7;9;7;0;6;1;3;1;Assez bien;STAPS;Général
COH2027-0047;21;44,4 %;24,8;7;8;7;2;6;3;1;2;Passable;Informatique;Général
COH2027-0048;19;29,7 %;0,0;8;13;8;0;5;2;2;2;Passable;Mathématiques;Général
COH2027-0049;21;60,9 %;31,1;4;11;11;6;5;3;3;3;Passable;Biologie;Professionnel
COH2027-0050;20;59,8 %;17,1;10;13;10;5;5;;2;1;Bien;STAPS;Général
COH2027-0051;22;22,5 %;0,0;1;9;1;0;5;1;;1;Assez bien;Lettres;Général
COH2027-0052;19;73,7 %;22,1;7;9;7;4;6;1;2;4;Passable;Droit;Général
COH2027-0053;18;55,1 %;27,3;7;12;9;5;6;4;;3;Passable;Gestion;Général
COH2027-0054;20;61,6 %;25,1;6;13;12;1;6;3;1;1;Bien;Informatique;Général
COH2027-0055;17;50,9 %;8,7;7;10;7;1;6;1;1;1;Bien;Informatique;Technologique
COH2027-0056;18;60,9 %;10,9;7;13;7;0;5;;3;1;Passable;Gestion;Technologique
COH2027-0057;20;67,6 %;54,3;5;12;12;7;5;2;3;3;Assez bien;Informatique;Technologique
COH2027-0058;20;52,8 %;21,4;6;10;6;0;6;1;2;1;Passable;Informatique;Général
COH2027-0059;20;67,2 %;26,4;5;8;7;4;7;2;3;3;Assez bien;Mathématiques;Technologique
COH2027-0060;19;54,0 %;13,8;8;10;10;3;6;3;3;2;Très bien;Gestion;Technologique
COH2027-0061;17;69,6 %;48,8;4;13;11;6;5;4;1;3;Très bien;Lettres;Technologique
